timestamp,open,high,low,close,spread,real_volume,volume,rsi,atr,atr_percent,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_width,bb_percent_b,ema_9,ema_21,ema_9_dist_pct,ema_21_dist_pct,ema_cross_bull,ema_cross_bear,volume_sma,volume_ratio,volume_increasing,high_volume,buy_volume,sell_volume,ofi_pseudo,ofi_trend,ofi_std,ofi_divergence,volume_momentum,toxicity,dist_from_struct_low,dist_from_struct_high,struct_compression_pct,struct_position,upper_wick_ratio,lower_wick_ratio,body_to_struct_ratio,returns_1,returns_5,returns_20,log_returns,price_position,dist_from_sma_20,volatility_20,normalized_range,avg_normalized_range,close_lag_1,close_lag_2,close_lag_3,close_lag_5,higher_high,lower_low,hh_count_5,ll_count_5,hour,weekday,london_session,ny_session,swing_high,swing_low,swing_high_level,swing_low_level,last_swing_high,last_swing_low,is_fvg_bull,is_fvg_bear,fvg_top,fvg_bottom,fvg_mid,fvg_signal,ob,ob_top,ob_bottom,ob_mitigated,bos,choch,market_structure,action_taken,was_random,pnl,win
2026-06-05T22:21:42.689955,4367.78,4367.78,4365.69,4365.79,4,0,162,38.08116186290529,4.712371820971313,0.1079385820429135,-4.693536726509592,-5.137202399022773,0.44366567251318134,4369.6875,4377.378689422816,4361.996310577184,0.0035202468930860724,0.24662566569755473,4367.7836220814015,4371.466242891314,-0.04564379222731559,-0.12984757461057408,0,0,759.95,0.21317191920521086,0,0,0,162,-0.9999999999938273,-0.0999999999996398,1.0208355710665058,-0.8999999999941874,-0.7029817236056222,2.5029817235939973,0.04353913595437099,0.30693184967661213,0.3501394550525472,0.1241830065278133,0.9521531095921004,0.04784688992943059,0.1300653594686151,-0.00045560902792718405,8.475702223376125e-05,-0.0027935002581076507,-0.0004557128492561692,0.04784688995232384,-0.0008919402131158938,0.0010155545922497652,0.0004787220640480063,0.0010094260002384804,4367.78,4366.0,4367.16,4365.42,0,0,2,2,17,5,0,1,0,0,,,4377.43,4363.89,False,False,,,,0,0,,,False,0,0,-1,INVERSE,1,2.07,1
2026-06-05T22:23:57.469415,4369.33,4370.34,4368.22,4369.26,4,0,386,43.274379115139006,4.4932006630503425,0.10283665112742987,-3.8517583738157555,-4.713464343445906,0.8617059696301501,4369.994000000001,4377.2919893410335,4362.696010658968,0.0033400454742193767,0.4497121764844554,4368.528558132427,4371.207974608616,0.016743437929726223,-0.04456375949007057,0,0,739.2,0.5221861471861472,0,0,0,386,-0.9999999999974094,-0.09999999999981439,1.0208355710666148,-0.8999999999975951,-0.36358044446279736,2.1635804444579874,0.12305534740790118,0.22726960629482124,0.3501148971829085,0.3509803921339324,0.5094339620238438,0.49056603750445804,0.0045751633983749755,-1.6020762908630637e-05,0.0004808617041740515,0.00026327175826623694,-1.6020891242423397e-05,0.49056603773585716,-0.00016796361734139342,0.0007976899765078769,0.00048520802149560585,0.000884675324390395,4369.33,4367.37,4367.78,4367.16,0,0,3,1,17,5,0,1,0,0,,,4377.43,4364.27,True,False,4368.22,4368.17,4368.195,1,0,,,False,0,0,-1,STANDARD,1,-9.97,0
2026-06-05T22:23:57.473570,4369.89,4370.25,4365.23,4365.79,4,0,471,38.941837962364616,4.674749819689614,0.10707683648754553,-3.7801876577996154,-4.5181905701232825,0.7380029123236671,4369.932500000001,4377.39558494143,4362.469415058572,0.0034156522744590947,0.22246731529175617,4368.081646505738,4370.767425012363,-0.05246345401009286,-0.11387988717676328,0,0,730.7,0.6445873819625016,0,0,0,471,-0.9999999999978769,3.094746681142624e-14,1.0259783520836783,-0.9999999999979079,-0.25931497246705826,2.259314972462874,0.04353913595437099,0.30693184967661213,0.35011982450528173,0.1241830065278133,0.8884462149623908,0.11155378483840592,0.2679738561916722,-0.0009382387199678988,-4.809894640400714e-05,-0.00042585829908525774,-0.0009386791414175767,0.11155378486062778,-0.0009479551457604041,0.00082623002246666,0.001149849168191882,0.0009453793312457754,4369.89,4369.33,4367.37,4366.0,0,1,3,2,17,5,0,1,0,0,,,4377.43,4364.27,False,False,,,,0,0,,,False,0,0,-1,STANDARD,1,-8.13,0
2026-06-05T22:27:17.834856,4366.24,4366.59,4356.99,4357.2,4,0,903,30.48632490271548,5.0595250609771325,0.11611872443259737,-4.379047703274409,-4.4855422638929365,0.10649456061852725,4368.9400000000005,4377.477057301506,4360.402942698495,0.0039080679988762615,-0.18759055874737593,4365.977317204916,4369.571328926302,-0.20103900151583198,-0.2831245446070391,0,0,721.25,1.2519930675909878,1,0,0,903,-0.9999999999988926,-0.09999999999990843,1.0208355710666233,-0.8999999999989842,0.35696646295113865,2.156966462949107,0.004819841220658944,0.5019278435691469,0.5053857457415283,0.009510869564788324,0.978124999898109,0.021874999997724315,0.40942028983652956,-0.002070431309318721,-0.002422283173603046,-0.004637350085665348,-0.002072577615253068,0.02187500000000296,-0.002687150658970072,0.0007587185661864874,0.0022032497934454153,0.0010101773687954836,4366.24,4369.89,4369.33,4367.78,0,1,2,3,17,5,0,1,0,0,,,4377.43,4364.27,False,False,,,,0,0,,,False,-1,0,-1,INVERSE,1,2.55,1
2026-06-05T22:27:17.838869,4357.6,4357.66,4356.98,4357.39,4,0,51,32.67499159611539,4.804393572263831,0.11025851650331576,-5.124974754773575,-4.6964600208571925,-0.4285147339163826,4366.689,4377.0348405575805,4356.34315944242,0.0047385286919129025,0.050592339585846906,4362.153362409173,4366.7569193293375,-0.10919749979953716,-0.21450516945137824,0,0,687.2,0.07421420256111758,0,0,0,51,-0.9999999999803922,8.974598841859916e-13,1.0259783520827532,-0.9999999999812897,-0.9253832447407067,2.925383244703286,0.04293402395120356,0.4599083396252197,0.5017531589723897,0.08534915563279571,0.3970588229446363,0.6029411755847754,0.009584664536305482,-4.8191665136809725e-05,-0.002860483902340838,-0.003170717758078312,-4.819282639241276e-05,0.6029411764714536,-0.0021295310932378797,0.0007464940315337044,0.00015605672202862058,0.0009244632281674864,4357.6,4359.8,4357.44,4369.89,0,0,0,4,17,5,0,1,0,0,,,4370.4,4364.27,False,False,,,,0,0,,,False,0,0,-1,STANDARD,1,9.33,1
2026-06-05T22:31:44.232191,4354.26,4355.59,4354.25,4354.65,4,0,131,30.788926776030152,4.944162889619088,0.11353754927764777,-5.638385474934694,-4.923581802056594,-0.7148036728780998,4365.906000000001,4378.119951298279,4353.692048701722,0.005595150833883512,0.039215454314621,4360.1534899269545,4365.398302636182,-0.1262223896399367,-0.24621585227839848,0,0,689.7,0.18993765405248658,0,0,131,0,0.9999999999923664,0.09999999999953736,1.020835571066331,0.8999999999928291,-0.8391168369166598,2.639116836902318,0.031930093768787034,0.5231189647846652,0.553607888030573,0.05750930905841557,0.7014925367902348,0.29850746246349646,0.016135705419250353,8.727065616032093e-05,-0.0026544578401553887,-0.0028714115941830265,8.726684829814908e-05,0.29850746268626327,-0.0025781590350322237,0.0007400176772502167,0.00030771703810872185,0.0009891208205852456,4354.27,4357.6,4359.8,4366.24,0,0,0,4,17,5,0,1,0,0,,,4370.4,4364.27,False,False,,,,0,0,,,False,0,0,-1,STANDARD,1,-24.6,0
2026-06-05T22:32:51.241817,4361.08,4364.09,4360.5,4361.84,4,0,560,43.42223820509691,4.674563831003559,0.10716953925415786,-4.326952935909503,-4.824688251600975,0.49773531569147167,4363.4529999999995,4373.403382378309,4353.50261762169,0.004560783571318298,0.4189478384511406,4360.53833827093,4363.91533901003,0.0298509410557463,-0.04755681191791157,0,0,682.7,0.8202724476343928,0,0,560,0,0.9999999999982143,0.19999999999963833,1.005249379898563,0.799999999998576,-0.048167942883206694,1.6481679428803586,0.20261795259377816,0.2829081305136666,0.4849370441253717,0.4168241965776439,0.6267409469006039,0.3732590528208446,0.035916824194910525,0.0001742687591148595,0.0017385233345657003,-0.0026774588149215406,0.00017425357607858476,0.3732590529248165,-0.00036966136681182427,0.0007077053736320884,0.0008230471544119329,0.0010367732124173322,4361.08,4359.4,4359.0,4354.27,1,0,3,1,17,5,0,1,0,0,,,4370.4,4364.27,True,False,4360.5,4359.56,4360.030000000001,1,0,,,False,0,0,-1,INVERSE,1,3.98,1
2026-06-05T22:35:04.790836,4361.48,4361.84,4356.34,4357.06,4,0,668,37.39842462374044,4.733698917006717,0.10864433624982711,-4.359746910691683,-4.733471317615757,0.37372440692407327,4362.8985,4373.0292292302565,4352.767770769744,0.004644036174692715,0.21184206648408596,4359.785070615748,4363.262019460289,-0.06250470084211183,-0.1421418065801934,0,0,698.5,0.9563350035790981,0,0,0,668,-0.999999999998503,0.19999999999966983,1.0052493798985909,-1.1999999999981728,-0.23416429701916963,2.634164297015515,0.09280913021302531,0.30616975667069474,0.3983590266883174,0.23245109319722085,0.8690909089328462,0.13090909088533556,0.25431530493354726,-0.0010134174637964621,0.00023415762940670604,-0.002456619938229543,-0.0010139313184699605,0.13090909090913722,-0.001338215867272563,0.0006821910374449243,0.0012623190867236162,0.0010819715378427937,4361.48,4361.08,4359.4,4356.04,0,1,3,1,17,5,0,1,0,-1,,4353.02,4370.4,4353.02,False,False,,,,0,0,,,False,0,0,-1,INVERSE,1,3.55,1
2026-06-05T22:35:04.797510,4357.29,4363.11,4357.29,4360.82,4,0,648,43.7963602455158,4.866079442907361,0.11158634025039697,-4.000233116960771,-4.582877596484476,0.5826444795237045,4362.4884999999995,4372.172825425516,4352.804174574483,0.004439817056487995,0.4138556416328397,4360.028856492242,4363.05889896563,0.01814537320273885,-0.051314892085479936,0,0,708.85,0.9141567327361219,0,0,648,0,0.9999999999984568,0.1999999999996503,1.0052493798986122,0.7999999999988066,-0.26728013743913215,1.8672801374367451,0.17918594447067734,0.21968345402923603,0.39839646568694,0.4487917145886559,0.39347079031041365,0.606529209517765,0.20310701955102423,0.0008101365757156032,0.00041752695572361276,-0.001929392916404482,0.0008098085922089498,0.6065292096219796,-0.00038246519159867987,0.000703306057557073,0.0013346113804283848,0.001145273552233673,4357.29,4361.48,4361.08,4359.0,1,0,3,1,17,5,0,1,0,0,,,4370.4,4353.02,False,False,,,,0,0,,,False,0,0,-1,INVERSE,1,6.75,1
2026-06-05T22:40:38.523246,4353.18,4353.18,4351.05,4351.66,4,0,87,35.77803715616916,4.957053419289587,0.11391178123496752,-4.896167086520109,-4.689978819884123,-0.20618826663598533,4360.2035,4372.0265466729825,4348.380453327017,0.0054231627826466615,0.13869295976295448,4355.810966522772,4360.115068493514,-0.09529721456406434,-0.1939184714323427,0,0,694.1,0.12534216971617923,0,0,0,87,-0.9999999999885058,0.1000000000003031,1.0208355710660555,-1.0999999999888088,-0.8797816713095021,3.0797816712871198,0.04529058392666607,0.43064026141737805,0.4749778307365709,0.09512312891864452,0.7136150231393162,0.28638497639120014,0.07339449540932107,-0.00034917003202261654,-0.0022515292973943613,-0.003549217340330979,-0.00034923100607220153,0.2863849765256532,-0.0019594268937217496,0.0008226277268118445,0.0004894683867765656,0.0011993555703203767,4353.18,4349.97,4359.25,4361.48,0,0,1,3,17,5,0,1,1,0,4364.09,,4364.09,4353.02,False,False,,,,0,0,,,False,0,0,-1,STANDARD,1,3.36,1
